CÓDIGO;AUTOR;TÍTULO;EJEM.
320/1881;DES HUIT MILLE/VERBES USUELS;L'ART DE CONJUGUER/DICTIONNAIRE/A ARTE DE CONJUGAR DICCIONARIO DOS 8 MIL VERBOS USUAIS ;1
320/1882;WILLIAMS OSCAR;THE NEW POCKET ANTHOLOGY OF/AMERICAN VERSE;1
320/1883;AMERICAN RED CROSS;FIRST AID TEXTBOOK;1
320/1884;ANINETEENTH-CENTURY;AMERICAN READER;1
320/1885;BY CARL BODE;AMERICAN PERSPECTIVES;1
320/1886;CURRY DEAN;HIGHLIGHTS OF AMERICAN LITERATURE;1
320/1887;GRIFFITH PAUL/BRUGGS SANDRA/NEALE-SILVA E....;CHURROS Y CHOCOLATE;1
320/1888;SANFORD MARKS;WELCOME ATLANTA;1
320/1889; MEDICAL ECONOMICS COMPANY;PHYSICIANS DESK REFERENCE;1
320/1890;BENTON WILLIAN;ENCYCLOPEDIA BRITANNICA PERSPECTIVES TOMO I;1
320/1891;BENTON WILLIAN;ENCYCLOPEDIA BRITANNICA PERSPECTIVES TOMO II;1
320/1892;BENTON WILLIAN;ENCYCLOPEDIA BRITANNICA PERSPECTIVES TOMO III;1
320/1893;RELACIONES PUBLICAS;"UNIVERSIDAD AUTONOMA ""GABRIEL RENÉ MORENO"" 1999-2002";1
320/1894;DEFENSOR DEL PUEBLO/APDHB;SABER PARA ACTUAR/GUÍA PARA GARANTIZAR EL EJERCICIO DE LOS DERECHOS HUMANOS;1
320/1895;DIRECCIÓN UNIVERSITARIA DE INVESTIGACIÓN;CIENCIA Y DESARROLLO/REVISTA CIENTÍFICA DE LA UAGRM/No. 3/ENERO 2005 ;1
320/1896;U.A.G.R.M.;CIENCIA E INNOVACIÓN/REVISTA DE LA U.A.G.R.M./1998/No. 1;1
320/1897;CENTRO DE INFORMACIÓN Y REFERENCIA E.E.U.U.;TEMAS MUNDIALES;1
320/1898;CENTRO DE INFORMACIÓN Y REFERENCIA E.E.U.U.;TEMAS DE LA DEMOCRACIA;1
320/1899;MASTER COURSE URBAN;INSTITUTE FOR HOUSING AND URBAN DEVELOPMENT STUDIES/OCTOBER 2005 SEPTEMBER 2006;1
320/1900;MASTER COURSE URBAN;INSTITUTE FOR HOUSING AND URBAN DEVELOPMENT STUDIES/4 APRIL TO 23 JUNE 2006;1
320/1901;CORTE DEPARTAMENTAL ELECTORAL;REFERENDUM NACIONAL 09 MEMORIA DE RESULTADOS ;2
320/1902;DEFENDOR DEL PUEBLO;IV INFORME ANUAL DE LA DEFENSORA DEL PUEBLO AL CONGRESO NACIONAL GESTIÓN 2001 ;1
320/1903; INFORME NAL SOBRE DESARROLLO HUMANO; LOS CAMBIOS DETRÁS DEL CAMBIO/DESIGUALDADES Y MOVILIDAD SOCIAL EN  BOLIVIA;1
320/1904;RED DE PARTICIPACIÓN Y JUSTICIA BOLIVIA 2007 ;JUSTICIA DE LOS PUEBLOS INDÍGENAS Y ORIGINARIOS/ESTUDIO DE CASO ;1
320/1905;MINISTERIO DE HIDROCARBUROS Y ENERGÍA;ESTRATEGIA BOLIVIANA DE HIDROCARBUROS;1
320/1906;CORTE ELECTORAL DE LA CORTE;ASAMBLEA CONSTITUYENTE Y REFERENDUM VINCULANTE PARA LAS AUTONOMÍAS DEPARTAMENTALES/2006;1
320/1907;MINISTERIO DE SALUD Y DEPORTES;INFORME ESTADISTICO DEL PROGRAMA AMPLIADO DE INMUNIZACIÓN ;1
320/1908;FBDM / FORO CON LA CIUDADANÍA ELECCIONES 2005;ELECCIONES DE PREFECTOS;1
320/1909;FBDM / FORO CON LA CIUDADANÍA ELECCIONES 2005;COMPENDIO DE LAS PUBLICACIONES DE LA CAMPARA COMENCEMOS BIEN ELUJAMOS MEJOR;1
320/1910;DEFENSOR DEL PUEBLO;RESUMEN EJECUTIVO VIII INFORME DEL DEFENSOR DEL PUEBLO AL CONGRESO NACIONAL 2005;1
320/1911;DEFENSOR DEL PUEBLO;BRIGADAS DE PROTECCIÓN A LA FAMILIA/INVESTIGACIONES DE OFICIO;1
320/1912;CARRERA DE CS.POL.Y ADM.PÚBLICA;REVISTA INFORMATIVA No. 1 MAYO 2008;20
320/1913;CORTE DEPARTAMENTAL ELECTORAL;MEMORIA ANUAL 2005 ELECCIONES DEPARTAMENTALES Y PREFECTURALES ;1
320/1914;DEFENSOR DEL PUEBLO;SITUACIÓN ACTUAL DE LAS PERSONAS CON DISCAPACIDAD;1
320/1915;DEFENSOR DEL PUEBLO;INFORME VII DEL DEFENSOR DEL PUEBLO AL CONGRESO NACIONAL;1
320/1916;DEFENSOR DEL PUEBLO;INFORME VIII DEL DEFENSOR DEL PUEBLO AL CONGRESO NACIONAL 2005;1
320/1917;SUPERINTENCIAS DE TELECOMUNICACIONES ;DIEZ AÑOS DE REVOLUCION DE LAS TELECOMUNICACIONES;1
320/1918;LUCHA CONTRA LA POBREZA / DIALOGO NACIONAL ;INDICADORES SOCIALES Y ECONÓMICOS/SANTA CRUZ;1
320/1919;MNCS-BOLIVIA / CODEDCO-BOLIVIA / WEMOS-HOLANDA ;ESTUDIO DE CASOS: SEGUIMIENTO A LA ESTRATEGIA BOLIVIANA DE REDUCIÓN DE LA POBREZA;1
320/1920;MINISTERIO DE DESARROLLO SOSTENIBLE Y PLANIF;DIM/ESTRATEGIA DE DESARROLLO INSTITUCIONAL MUNICIPAL;1
320/1921;ASOCIACIÓN BOLIVIANA DE CIENCIAS POLÍTICAS;LA CALIDAD DE LA DEMOCRACIA EN BOLIVIA 2012/PERCEPCIÓN Y EVALUACIÓN DE LOS ACTORES;6
320/1922;ROOSTA MANIGEH ;MUJERES, SALUD Y VIOLENCIA (EN CONTEXTOS DE EMERGENCIA NATURALES);2
320/1923;GUZMAN V. SANDDY;"""COMO ENTENDER LA ECONOMÍA";1
320/1924;AMNISTIA INTERNACIONAL; INFORME 1998 UN AÑO DE PROMESAS ROTAS;2
320/1925;ZIZEK SLAVOJ;¡BIENVENIDOS A TIEMPOS INTERESANTESI;1
320/1926;ASOCIACIÓN PROFESIONAL SERV. EXT. DE LA NACIÓN;TEMAS DE POLÍTICA EXTERIOR, COMERCIO Y RELACIONES INTERNACIONALES;1
320/1927;ICOBA-ITINERARIO DE LA COYUNTURA POL. BOL.;LA CONSTRUCCIÓN COLECTIVA DE LA MEMORIA POLÍTICA;1
320/1928;CAMARA DEPARTAMENTAL DEL LIBRO DE SANTA CRUZ;10 AÑOS (1998-2008);1
320/1929;DEFENSOR DEL PUEBLO;AGENDA DEFENSORIAL/DERECHOS HUMANOS DE LOS JÓVENES INFRACTORES FRENTE A A LEY;1
320/1930;DEFENSOR DEL PUEBLO;AGENDA DEFENSORIAL/DERECHOS HUMANOS DE LAS MUJERES Y PARTICIPACIÓN POLÍTICA ;1
320/1931;UNIVERSIDAD MAYOR DE SAN SIMÓN;DECURSOS/REVISTA DE CIENCIAS SOCIALES;2
320/1932;"INSTITUTO DE INV. ABG. ""MONICA VON BORRIES""";"REVISTA CRITERIO EN HOMENAJE: A LA ABG. ""MÓNICA VON BORRIES ORIAS"" 01-ENERO-1965-27 FEBRERO 2004";1
320/1933;MARCA JUAN PABLO;SEPTIEMBRE 2008 EN EL PROCESO AUTONÓMICO CRUCEÑO ;2
320/1934; PROYECTO DE FORTALECIMIENTO DEMOCRÁTICO;CON-TEXTOS POLÍTICOS (CONJETURAS Y DEBATES DE LA TRANSICIÓN POLÍTICA BOLIVIANA (2008-2010) ;3
320/1935; ZUAZO MOIRA-PAGUET JEAN PAUL Y BONIFAZ G;DESCENTRALIZACIÓN Y DEMOCRATIZACIÓN EN BOLIVIA;2
320/1936;TAPIA MEALLA LUIS;POR EL SÍ POR EL NO (ANÁLISIS DE RESULTADOS DEL REFERÈNDUM 2004;1
320/1937;ZOVATTO DANIEL-MARULANDA IVÁN Y OTROS;DEMOCRACIA DIRECTA Y REFERENDUM EN AMÉRICA LATINA;1
320/1938;SEMINARIO INTERNACIONAL;"NOCHE PARLAMENTARIA ""AUTONOMÍAS E INSTITUCIONALIDAD"" ¿REGIONES AUTÓNOMAS, FEDERALIZADAS O... ";1
320/1939;FUNDAPPAC;MUJERES HACIA LA ASAMBLEA CONSTITUYENTE;1
320/1940;FUNDAPPAC;PROPUESTAS ECONOMICAS PARA UNA BOLIVIA CON EQUIDAD;1
320/1941;MINISTERIO DE AUTONOMÍAS;"CLASIFICADOR COMPETENCIAL/CPE LEY MARCO DE AUTONOMÍAS Y DESCENTRALIZACIÓN ""ANDRES IBAÑEZ ..";1
320/1942;GALINDO ANZE EUDORO;REFLEXIONES SOBRE LA IDEA DEMOCRÁTICA;1
320/1943;ORGANO ELECTORAL PLURINACIONAL;COMENDIO ELECTORAL DEL ESTADO PLURINACIONAL DE BOLIVIA;2
320/1945;U.A.G.R.M.-CARRERA DE CS. POLÍTICA Y ADM. PUB;CONOCIMIENTO Y POLITICA;4
320/1946;FUNDAPPAC ;GUIA PARLAMENTARIA MECANISMOS Y PROCEDIMIENTOS PARLAMENTARIOS;1
320/1947;LANZA GREGORIO;BOLIVIA Y VENEZUELA VOTOS QUE REVOLUCIONAN ;1
320/1948;CAPOBIANCO R. GUILLERMO;BOLIVIA CORAZÓN DE SUDAMERICA;1
320/1949;FUNDACIÓN NUEVA DEMOCRACIA;IDEAS & DEBATE No. 5 DICIEMBRE 2012;1
320/1950;FLACMA;EL LIBRO DEL PODER LOCAL TOMO I : INFORMACIÓN GENERAL, RESULTADOS POLÍTICOS, ACUERDOS Y CONFEREN ;1
320/1951;FLACMA; EL LIBRO DEL PODER LOCAL TOMO 2-ALIANZAS ESTRATÉGICAS, FINANZAS MUNICIPALES, EMPRESA PRIVADA Y..;1
320/1952;FLACMA;EL LIBRO DEL PODER LOCAL TOMO 3: SERVICIOS, SEGURIDAD, AMBIENTE Y METAS DEL MILENIO EL LIBRO DEL PODER LOCAL ;1
320/1953;FLACMA;TOMO 4: EDUCACIÓN, SALUD, GENERO, DESIGUALDAD Y EXCLUSIÓN;1
320/1954; WEBSTER'S  MERRÍAN;DICTIONARY VOLUMENI/A-G;1
320/1955; WEBSTER'S  MERRÍAN;DICTIONARY VOLUMEN II/H-R;1
320/1956; WEBSTER'S  MERRÍAN;DICTIONARY VOLUMEN III/S-Z-;1
320/1957;THE UNIVERSITY OF CHICAGO;ENCICLOPEDIA BRITÁNICA VOLUMEN II ;1
320/1958;THE UNIVERSITY OF CHICAGO;ENCICLOPEDIA BRITÁNICA VOLUMEN 16;1
320/1959;THE UNIVERSITY OF CHICAGO;ENCICLOPEDIA BRITÁNICA VOLUMEN 19;1
320/1963;RUBENS BARBERY KNAUDT/DEL BARCO Q. LILIAN V.;EDUCACIÓN INICIAL EN BOLIVIA: PERSPECTIVAS GENERAL Y EL CASO DE LA GUARDIA;2
320/1964;MOLINA SAUCEDO CARLOS HUGO;LAS MANCOMUNIDADES MUNICIPALES Y EL PACTO TERRITORIAL;1
320/1965;BARBERY KNAUD KASSANDRA;ARUMA ;2
320/1966; LEMA G. ANA MARÍA/BARAHONA M. MARÍA DEL R.;FACUNDO INFANTE (HOMBRE PÚBLICO Y MISTERIOSO EN BOLIVIA 1826-1828 Y ALGO MÁS;2
320/1967;BARBERY KNAUDT RUBENS;RUTA CRÍTICA ;2
320/1968;BARBERY  ANAYA ROBERTO;COINACAPA (UNA EXPERIENCIA SOCIAL DE DESARROLLO LOCAL) ;2
320/1969;CEPAD;MANUAL DE MANEJO LECHERO DE UN HATO LECHERO ;1
320/1970; FONDOS ROTATORIOS DE GANADO;"SAN IGNACIO DE VELASCO ""MUNICIPIO ESCUELA """;2
320/1971; MANCOMUNIDADES DE MUNICIPIOS CHIQUITANOS;MANUAL DE BUENAS PRÁCTICAS Y REGLAMENTO DE FUNCIONAMIENTO PARA LAS OFICINAS DE TURISMO;1
320/1972;PREFECTURA DEL DEPARTAMENTO DE SANTA CRUZ;OBSERVATORIO DEL DESARROLLO ECONÓMICO LOCAL EN EL DEPARTAMENTO DE SANTA CRUZ ;2
320/1973;CEPAD;MANCOMUNIDADES MUNICIPALES: ESTADO DE SITUACIÓN Y PROSPECTIVA;2
320/1974;RED IBEROAMERICANA PARA LA COORPORACIÓN TEC;"GUÍA DE HERRAMIENTAS DIGITALES ""INSTRUMENTOS PARA LA PARTICIPACIÓN E INCLUSIÓN EN LA SOC";2
320/1975;DEFENSOR DEL PUEBLO REPUBLICA DE BOLIVIA;AGENDA DEFENSORIAL /DISCRIMINACIÓN Y DERECHOS HUMANOS;1
320/1976;DEFENSOR DEL PUEBLO REPUBLICA DE BOLIVIA;AGENDA DEFENSORIAL/DISCAPACIDAD Y DERECHO A LA EDUCACIÓN;1
320/1977;DEFENSOR DEL PUEBLO REPUBLICA DE BOLIVIA;AGENDA DEFENSORIAL/SEMINARIO TALLER INTERNACIONAL TRABAJO INFANTIL ;1
320/1978;DEFENSOR DEL PUEBLO REPUBLICA DE BOLIVIA;"AGENDA DEFENSORIAL/SEMINARIO TALLER INTERN. ""DISCAPACIDAD Y MEDIOS DE COMUNICACIÓN SOCIAL""";1
320/1979;VARNOUX GARAY MARCELO;PRINCIPIOS Y VALORES DE LA DEMOCRACIA/DEMOCRACIA LAS REGLAS DEL JUEGO;1
320/1980;COSTA JIMENA/LANZA GREGORIO/GALINDO MARIO;BALANCE DE UN CUARTO DE SIGLO DE DEMOCRACIA, REFORMAS POLÍTICAS, SOCIALES Y ECONÓMICAS;1
320/1981;GUZMAN V. SANDDY;PRIMER MANIFIESTO DEL SIGLO XXI PARA EL DESARROLLO DE LOS PUEBLOS Y EL BIENESTAR DE LA SOCIEDAD;1
320/1982;FUNDAPPAC;"""CUMBRE ACADÉMICA DE EXPRESIDENTES Y VICEPRESIDENTES DE LA REPÚBLICA DE BOLIVIA""";1
320/1983;FUNDAPPAC; HISTORIA DE LA MEMORIA POLÍTICA Y ADMINISTRATIVA DE BOLIVIA;1
320/1984;JOST STEFAN/RIVERA JOSÉ A./MOLINA G./CAJIAS H.;LA CONSTITUCIÓN POLÍTICA DEL ESTADO/COMENTARIO CRÍTICO;1
320/1985;ZEGADA MARÍA TERESA/KOMADINA JORGE;EL ESPEJO DE LA SOCIEDAD/PODER Y REPRESENTACIÓN EN BOLIVIA;1
320/1986;NOCHE PARLAMENTARIA;SEMINARIO INTERNACIONAL REGIONES AUTÓNOMAS, FEDERALIZADAS O DESCENTRALIZADAS? ;1
320/1987;NOCHE PARLAMENTARIA;"ÉTICA EN LA POLÍTICA ""NORMATIVIDAD EN LA LUCHA CONTRA LA CORRUPCIÓN""";1
320/1988;NOCHE PARLAMENTARIA;"""HACIA LA ASAMBLEA CONSTITUYENTE: EXPERIENCIAS DE LATINOAMÉRICA Y EUROPA""";1
320/1989;MONTAÑO DURÁN PATRICIA/FUNDAPPAC;MODESTA SANGINES/PRECURSORA DE LA EQUIDAD DE GÉNERO;1
320/1990;IDEAS & DEBATE/FUNDACIÓN NUEVA DEMOCRACIA;AVILA A. JORGE E./CABALLERO V. TEÓFILO/COCA O. J. LIZANDRO/COLE JULIO H/OPORTO C. HENRRY;1
320/1991;LA RAZÓN/FUNDAPPAC;"""VISIONES DE LAS AUTONOMÍAS EN BOLIVIA"" ";1
320/1992;COSTA ARDÚZ ROLANDO/FUNDAPPAC;EL MITO DEL ORDEN TERRITORIAL (TOMO I) HISTORIA DE LA DIVISIÓN POLÍTICO-ADMINISTRATIVO DE BOLIVIA;1
320/1993;FUNDAPPAC;PROPUESTAS DEL SECTOR DEFENSA PARA LA ASAMBLEA CONSTITUYENTE;1
320/1994; ECHALAR FLORES HUMBERTO/FUNDAPPAC;EL ASCENSO DEL PUEBLO AL PODER;1
320/1995;MINISTERIO DE SERVICIOS Y OBRAS PÚBLICAS;INSTALACIONES DE AGUA-DISEÑO PARA SISTEMAS DE AGUA POTABLE;1
320/1996;FONPLATA;MEMORIA ANUAL 2007/FONDO FINANCIERO PARA EL DESARROLLO DE LA CUENCA DEL PLATA;1
320/1997;LAZOS;CLAVES PARA REDIBUJAR BOLIVIA;1
320/1998;BARRIOS VILLEGAS FRANZ/FUNDAPPAC;APORTAR PARA CONSTRUIR/ESTUDIO COMPARADO DE 23 CONSTITUCIONES Y UNA PROPUESTA INICIAL ;1
320/1999;DEMOCRACIA INTERCULTURAL;CONSTRUYENDO LA DEMOCRACIA INTERCULTURAL/SEG. ANIVERSARIO DEL O.E.P./AÑO 1-No. 2-AGO. 2012;1
320/2000;ANDAMIOS/PNUD-BOLIVIA;STATUS QUO DEL CAMBIO/BOLETIN DE ANÁLISIS Y PROSPECTIVA POLÍTICA NO. 1-JUNIO-JULIO 2011;9
320/2001;ANDAMIOS/PNUD-BOLIVIA;USTICIA EN LAS URNAS/BOLETÍN DE ANÁLISIS Y PROSPECTIVA POLÍTICA No. 2-AGOSTO-SEPTIEMBRE 2011 ;12
320/2002;MINISTERIO DE GOBIERNO /E.P. DE BOLIVIA;PERSPECTIVAS DE LA SEGURIDAD CIUDADANA EN AMÉRICA LATINA Y BOLIVIA/INTERCAMBIO DE BUENAS PRACTI ;1
320/2003;COMUNIDAD CIENTÍFICA/FAC. CS JUR, POL, SOC,RRII;"REVISTA CHASKI INTERNACIONAL/CONSTRUYENDO: ""LA CONCIENCIA PARA EL CUIDADO DE NUESTRO HABITAT";1
320/2004;GOBIERNO AUTÓNOMO DEPARTAMENTAL S.C.;BATALLA DE FLORIDA/BICENTENARIO DE LA VICTORIA 25 DE MAYO DE 1814 (LIC. PAOLA PEÑA) ;1
320/2005;GOBIERNO AUTÓNOMO DEPARTAMENTAL S.C.;A VENCER O CON GLORIA MORIR/1813-2013 200 AÑOS DE LA LLEGADA DE IGNACIO WARNES A SANTA CRUZ…;1
320/2006;DEFENSOR DEL PUEBLO REPUBLICA DE BOLIVIA ;IV INFORME ANUAL DE LA DEFENSORA DEL PUEBLO AL CONGRESO NACIONAL;1
320/2007;DEL CASTILLO EFRAIN R.;SINDICALISMO: FACTOR DE PODER POLÍTICO;1
320/2008;ILDIS/FACES UMSS;LOS NUEVOS ACTORES POLÍTICOS EN BOLIVIA;1
320/2009;CALDERÓN G. FERNANDO;LA POLITICA EN LAS CALLES;1
320/2010;GUTIÉRREZ  ANGLARILL MARIO;LIBERTAD, DEMOCRACIA, DESARROLLO Y UNIDAD NACIONAL ;1
320/2011;GARCÍA FAJARDO J.C.;COMUNICACIÓN DE MASAS Y PENSAMIENTO POLITICO;1
320/2012;GÓMEZ RUEDA HÉCTOR O.;TEORIA Y DOCTRINA DE LA GEOPOLITICA ;1
320/2013;RODRÍGUEZ OSTRIA GUSTAVO;EL SOCAVON Y EL SINDICATO (ENSAYOS HISTORICOS SOBRE LOS TRABAJADORES MINEROS SIGLOS;1
320/2014;NUEVA SOCIEDAD No. 98 ;LA NUEVA DERECHA LATINOAMERICANA;1
320/2015;PARADA VACA ORLANDO;IDEOLOGIA (APUNTES PARA SU ESTUDIO E INVESTIGACIÓN) ;1
320/2016;PNUD BOLIVIA/IDEA;ENCUESTAS PARA EL DESARROLLO HUMANO (EL ESTADO DE LA OPINION : LOS BOLIVIANOS, LA CONSTITUCIÓN..);1
320/2017;VERDESOTO LUIS Y ZUAZO MOIRA;INSTITUCIONES EN BOCA DE LA GENTE (PERCEPCIONES DE LA CIUDADANIA BOLIVIANA SOBRE POLITICA Y TERRITORIO;1
320/2018;TORANZO ROCA CARLOS F./ARRIETA ABDALLA MARIO;NUEVA DERECHA Y DESPROLETARIZACIÓN EN BOLIVIA/UNITAS-ILDIS ;1
320/2019;DABDOUB ARRIEN CARLOS;DESCENTRALIZACION… YA !!;1
320/2020;NUEVA SOCIEDAD No. 144;GEOPOLITICA POSMODERNISMO/EL FUTURO DEL NOAL/NUEVA REPRESENTACIÓN, ¿ VIEJA POLITICA?..;1
320/2021;USTÁREZ E. WALTER;AGENDA AUTONOMÍA 2008;1
320/2023;PÉREZ ROYO JAVIER/UNIV. DE SEVILLA;POSICIÓN CONSTITUCIONAL DE LAS FUERZAS ARMADAS EN IBEROAMERICA Y EN ESPAÑA ;1
320/2024; FUNDACIÓN MILENIO;ASPECTOS ECONOMICOS DEL PROYECTO DE NUEVA CONSTITUCION;1
320/2025;FBDM ;UN NUEVO PAÍS PARA EL SIGLO XXI/SERIE TEMAS DE REFLEXIÓN Y DEBATE NO. 15;1
320/2026;SENATO DE LA REPÚBLICA;COSTITUZIONE DELLA REPUBBLICA/REGLAMENTO DEL SENATO;1
320/2027;EKMEKDAJIAN MIGUEL ÁNGEL;MEDITACIONES SOBRE LA REPUBLICA EL PODER Y LA LIBERTAD;1
320/2028;COORDINADORA DE LA MUJER;FEMINISMO Y POLITICA/SERIE: CUADERNOS DE TRABAJO No. 1;1
320/2030;MOVIMIENTO NACIONALISTA REVOLUCIONARIO;PROYECCION OBRERA DEL NACIONALISMO REVOLUCIONARIO/TESIS POLITICA/COMANDO NAC LABORAL;1
320/2031;BEDREGAL GUTIÉRREZ GUILLERMO;TESIS POLITICA DEL MOVIMIENTO NACIONALISTA REVOLUCIONARIO 1988;1
320/2032; SERRATE REICH CARLOS;M.N.R.V./VANGUARDIA REVOLUCIONARIA 9 DE ABRIL DECLARACIÓN DE PRINCIPIOS;1
320/2033;BEDREGAL GUTIÉRREZ GUILLERMO;REVOLUCIÓN CULTURAL PARA LA INTEGRACIÓN ;1
320/2034;TORANZO ROCA CARLOS F.;EL DIFICIL CAMINO HACIA LA DEMOCRACIA;1
320/2035;ARDAYA S. GLORIA/VERDESOTO C. LUIS;RACIONALIDADES DEMOCRÁTICAS EN CONSTRUCCIÓN;1
320/2036;URCULLO REYES JAIME;PROCESO DEMOCRÁTICO, SITUACIÓN JURIDICA Y REFORMA CONSTITUCIONAL EN BOLIVIA;1
320/2037;CORPORACIÓN REGIONAL DE DESARROLLO DEL BENI;DERECHO DEL BENI AL 7.27 POR CIENTO DE REGALIAS PETROLERAS DE SANTA CRUZ;1
320/2038;FUNDACIÓN SAN GABRIEL/UNICEF;MUJER PARTICIPACIÓN SOCIAL Y POLÍTICA;1
320/2039; FUNDACIÓN SAN GABRIEL;"7mo, ENCUENTRO DEPARTAMENTAL ""MUJER, PARTICIPACIÓN SOCIAL Y POLITICA";1
320/2040;ILDIS/CERES;DEBATE REGIONAL/MUJER Y REPRODUCCIÓN DE LA SOCIEDAD;1
320/2041;COMISIÓN AD HOC PARA LA REFORMA POLÍTICA;COMO REFORMAR EL PARLAMENTO ALEMAN;1
320/2042;COMISON PRESIDENCIAL PARA LA REFORMA/CARACAS;LA REFORMA EN SINTESIS/PROYECTO DE REFORMA INTEGRAL DEL ESTADO /CARACAS 1989 ;1
320/2043;MEMORIA XII CONGRESO CONTINENTAL ORIT-CIOSL;EL DESAFIO DEL CAMBIO: NUEVOS RUMBOS DEL SINDICALISMO/CONGRESO DE TRABAJADORES;1
320/2044;WALLACE IRVING;EL TODOPODEROSO HASTA DÓNDE ES CAPAZ DE LLEGAR UN HOMBRE OBSESIONADO CON EL PODER?;1
320/2045;PONEMAN DANIEL;LA DEMOCRACIA ARGENTINA PUESTA A PRUEBA;1
320/2046;RODRÍGUEZ RABANAL CÉSAR;LA VIOLENCIA DE LAS HORAS/UN ESTUDIO PSICOANALITICO SOBRE LA VIOLENCIA EN PERÚ;1
320/2047;LUPHART AREND;DEMOCRACIA EN LAS SOCIEDADES PLURALES/UNA INVESTIGACIÓN COMPARATIVA;1
320/2048;ROMERO JOSÉ LUIS;LATINOAMÉRICA: LAS CIUDADES Y LAS IDEAS;1
320/2049;ARAMAYO FRANCISCO Y OTROS... ;" TALLER ""MUNICIPALIDAD Y DEMOCRACIA""";1
320/2050;BUCHANAN M. JAMES Y TULLOCK GORDON;EL CÁLCULO DEL CONSENSO (FUNDAMENTOS LÓGICOS DE UNA DEMOCRACIA CONSTITUCIONAL);1
320/2053;FUNDACIÓN NACIONAL GONZALO BARRIOS;AMÉRICA LATINA EN EL UMBRAL DEL SIGLO XXI;1
320/2054;OBLEAS DE TORRES EMA ;PARLAMENTO Y FUERZAS ARMADAS/EL ROL DE LA COMISIÓN DE DEFENSA NACIONAL CAMARA DE DIPUTADOS;1
320/2055; HOFMANN RENATA;APUNTES SOBRE LA DEMOCRACIA DESDE UNA ÓPTICA COTIDIANA;1
320/2056;OMBUDSMAN/DEFENSOR DEL PUEBLO;OMBUSDMAN DEMOCRACIA Y DERECHOS HUMANOS/CAPITULO BOLIVIANO DEL OMBUDSMAN;1
320/2058;FONTANIA PASCAL;UNA IDEA NUEVA PARA EUROPA/LA DECLARACIÓN SCHUMAN (1950-1990);1
320/2059;FESCOL;LA INTERNACIONAL SOCIALISTA EN EL AÑO 2000;1
320/2060;BOHRT IRAHOLA CARLOS / CHÁVEZ REYES SILVIA..;ELECCIONES 2002 RESULTADOS Y TRANSFORMACIONES;1
320/2063; NÚÑEZ JIMÉNEZ FERNANDO E.;AUTONOMÍA UN PROCESO EN MARCHA;1
320/2064;CASAL MARÍA JESÚS Y OTROS.....;EL DEBATE CONSTITUYENTE EN VENEZUELA/IDEAS PARA UNA NUEVA CONSTITUCIÓN;1
320/2065;LOAIZA RAMÍREZ JAVIER;PARTIDOS DE CIUDADANOS/CUARTA GENERACIÓN DE ORGANIZACIONES POLÍTICAS ;1
320/2066;CHAFUÉN SILVIA;DESARROLLO SOSTENIBLE DE LA POBLACIÓN: UNA VISIÓN CRÍTICA A PRINCIPIOS DEL SIGLO XXI;1
320/2067;DROMI JOSÉ ROBERTO;DEMOCRACIAS FRUSTRADAS Y REVOLUCIONES INCONCLUSAS;1
320/2068;ROZO ACUÑA EDUARDO;CONSTITUCIÓN POLÍTICA DE COLOMBIA;1
320/2069;HARB BENJAMIN MIGUEL  ;NOTAS PARA LA REFORMA CONSTITUCIONAL;1
320/2070;CARVALHO ANDRES ;CONSTITUINTE E CONSTITUICAO ;1
320/2071;GALVAO QUIRINO CÉLIA Y MONTES MARIA LÚCIA;CONSTITUIDOS;1
320/2072;GOBIERNO DEPARTAMENTAL PREFECTURA S.C.;PLAN DEPARTAMENTAL DE DESARROLLO ECONÓMICO Y SOCIAL SANTA CRUZ 2006-2020;1
320/2073; FUNDACIÓN FRIEDRICH EBERT;PROYECTOS DE CAMBIO/LA IZQUIERDA DEMOCRÁTICA EN AMÉRICA LATINA;1
320/2075;URRIOLA RAFAEL;ECONOMÍA LATINOAMERICANA/LA GLOBALIZACIÓN DE LOS DESAJUSTES;1
320/2076;ESPINA ALVARO;CONCERTACIÓN SOCIAL, NEOCORPORATISMO Y DEMOCRACIA ;1
320/2077;ASAMBLEA NACIONAL CONSTITUIDA 1988;A CONSTITUICAO DO BRASIL;1
320/2078; ESCOBAR PLATA DANTE ;INTRODUCCIÓN A LA CONSTITUCIÓN POLÍTICA DEL ESTADO;1
320/2079;FUNDACIÓN MILENIO;REFLEXIONES SOBRE LA LEY DE NECESIDAD DE REFORMA DE LA CONSTITUCIÓN POLÍTICA DEL ESTADO;1
320/2080;CONSEJO PARA LA CONSOLIDACIÓN DEMOCRACIA;REFORMA CONSTITUCIONAL ARGENTINA ;1
320/2081;MORELLO OCAÑA LUIS;TEMAS CLAVE DE LA CONSTITUCIÓN ESPAÑOLA / LA ADMINISTRACIÓN LOCAL;1
320/2082;CASANOVA SAINZ ROBERTO/ROJAS R;SANTA CRUZ DE LA SIERRA / CRECIMIENTO URBANO Y SITUACIÓN OCUPACIONAL ;1
320/2083;LASSALLE FERDINAND;¿QUÉ ES UNA CONSTITUCIÓN?;1
320/2084;HENGSTENBERG PETER;PROFUNDIZACIÓN DE LA DEMOCRACIA/ESTRATEGIAS EN AMÉRICA LATINA Y EUROPA ;1
